City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
139,Korla,CN,86.0,41.76,86.15,Gulisitan Hotel
143,San Policarpo,PH,79.84,12.18,125.51,Zal-Ann Beach Resort
148,Pachino,IT,82.4,36.72,15.09,La Vignazza B&B
151,Taybad,IR,76.98,34.74,60.78,لی پوش jean center
152,Hami,CN,83.8,42.8,93.45,Laoyutang Resort
153,Labrea,BR,88.75,-7.26,-64.8,Hotel Novo Horizonte
155,Dhidhdhoo,MV,84.31,6.88,73.1,Dhidhoo beach
161,Sassandra,CI,76.42,4.95,-6.08,la terrasse
163,Bucerias,MX,87.01,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
166,Marsa Matruh,EG,75.2,31.35,27.25,Beau Site
167,Sola,VU,79.65,-13.88,167.55,Leumerus Bungalows
175,Pasni,PK,83.97,25.26,63.47,3G hotel pasni
176,Glan Padidu,PH,78.49,5.85,125.22,Hacienda Don Juan
177,Santa Cruz,BO,84.2,-17.8,-63.17,Hotel Cortez
179,Formosa Do Rio Preto,BR,81.36,-11.05,-45.19,Porto Center Hotel
180,Arraial Do Cabo,BR,78.8,-22.97,-42.03,Pousada Porto Praia
181,Half Moon Bay,US,82.99,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
186,Nakhon Phanom,TH,75.15,17.41,104.78,The River Hotel Nakhonphanom
191,Sorong,ID,80.65,-0.88,131.25,The Waigo Hotel
192,Ipora,BR,82.49,-16.44,-51.12,Oásis Motel
193,Kapaa,US,77.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
196,Tabasco,MX,86.0,18.0,-92.67,
202,Dibrugarh,IN,76.1,27.48,94.9,SHREE COTTAGE
205,Rayagada,IN,78.94,19.17,83.42,"Hotel Swagath, Rayagada"
215,Melur,IN,87.8,10.05,78.33,hotel temple city
216,Iracoubo,GF,79.21,5.48,-53.2,
217,Road Town,VG,89.6,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
219,Sao Filipe,CV,82.54,14.9,-24.5,Tortuga B&B
220,Cherat,PK,86.79,33.82,71.89,Akhtar said shop
225,Siuna,NI,86.27,13.73,-84.78,Hotel Kaoba
228,Lazaro Cardenas,MX,87.4,17.96,-102.2,Hotel Quinta Antigua
234,Saint-Georges,GD,86.0,12.06,-61.75,Radisson Grenada Beach Resort
235,Chapais,CA,87.8,49.78,-74.85,Hôtel Opémiska
237,Naze,JP,78.8,28.37,129.48,奄美ポートタワーホテル
241,Bandarbeyla,SO,81.5,9.49,50.81,REER XOOSHLE GROUP
242,Trairi,BR,84.29,-3.28,-39.27,Pousada Field Lilies - Trairi
243,Palmas,BR,88.0,-10.21,-48.36,Hotel Lago da Palma
244,Morehead,US,81.0,37.27,-87.18,CCI Express Inn
245,Vung Tau,VN,82.94,10.35,107.08,Seaside Resort
247,Dong Hoi,VN,79.86,17.48,106.6,Nam Long Hotel
250,Mitsamiouli,KM,78.22,-11.38,43.28,Foyer ADM
